proposed_ARI,proposed_NMI,proposed_Silhouette,proposed_Dunn,proposed_Davies-Bouldin,proposed_MAE,proposed_Communication Cost,baseline_ARI,baseline_NMI,baseline_Silhouette,baseline_Dunn,baseline_Davies-Bouldin,baseline_MAE,baseline_Communication Cost,gt_centralized_ARI,gt_centralized_NMI,gt_centralized_Silhouette,gt_centralized_Dunn,gt_centralized_Davies-Bouldin,gt_centralized_MAE,gt_centralized_Communication Cost
0.9790411738421844,0.9800723468304863,0.70907325,0.029165914,0.3911130314365753,4.432545185089111,84058704,0.6119471070038397,0.8542636356918228,0.5021901,0.0031884036,0.6825688211466859,14.950445175170898,93782910,0.9977452397350849,0.9975570884852746,0.7151886,0.06239245,0.3839658347531134,0.815638542175293,0
0.8290428564287062,0.9047300319530274,0.5814321,0.010434002,0.6643951059024428,8.779991149902344,83336256,0.5844441297228405,0.809400098780514,0.4679909,0.0054083355,0.9116662258982341,13.128268241882324,97365783,0.9842633456271135,0.9863693303526639,0.702143,0.04472503,0.39101015262048633,1.3594658374786377,0
0.9894127710941453,0.9891105614124216,0.75230646,0.04081742,0.3387987128596134,4.311920166015625,82450944,0.7182057710905239,0.8559882546025827,0.46018353,0.007736922,0.9146946607825258,13.453622817993164,97380945,1.0,1.0,0.7547451,0.09210352,0.3361300646528147,0.50091952085495,0
0.7235578267578063,0.83975918450683,0.47169256,0.0064993915,0.7191725389236074,8.10527515411377,83774736,0.5886307042316858,0.7730562572221659,0.34187004,0.003395981,0.8542059072944403,13.353808403015137,92886657,0.9863085590493226,0.9873375009295161,0.6085713,0.003951429,0.48921494582338615,1.0638129711151123,0
0.9459435353606173,0.9707210661828168,0.7320419,0.01102307,0.36088094445893815,5.890157222747803,82843488,0.7303689504742257,0.883637717495939,0.63125974,0.010866832,0.593790239273294,12.504101753234863,97371336,1.0,1.0,0.74826187,0.025179936,0.34961229416977935,0.5687896013259888,0
0.8931129120883476,0.9457502861744507,0.6401585,0.0058859093,0.4737973336592825,6.7252607345581055,82334016,0.7346997412615839,0.8993775941821301,0.64109516,0.010408119,0.4103709833527366,12.235908508300781,94715298,0.9958500566236608,0.9951647658110832,0.74013895,0.04808004,0.3523890868985054,0.8023093938827515,0
0.8519925007125561,0.9174205184809068,0.6213,0.013007486,0.7721160333858741,6.720329284667969,82730736,0.7575103847257241,0.8998060217331542,0.5528379,0.0031535432,0.757915958419771,11.252302169799805,96469665,1.0,1.0,0.75866205,0.12862088,0.350345577920198,0.7760834693908691,0
0.9286360876366991,0.9559461048452202,0.6674284,0.017923633,0.4382086167337829,5.919314384460449,83929248,0.845194587975054,0.9313069605316424,0.6513667,0.015744096,0.5576454995135011,7.3807053565979,97362810,0.995714259373689,0.9951590998852818,0.6857728,0.023693604,0.42075291894107625,0.9037149548530579,0
0.8236921822904419,0.8875211516539826,0.6223469,0.019426523,0.5957598500779192,8.115743637084961,84263328,0.701665923270788,0.858701365045632,0.59032923,0.014092255,0.6547339706144109,12.518104553222656,93777849,0.972791705213792,0.975217870449239,0.6899321,0.06824926,0.44486730118090545,1.0954959392547607,0
0.990714762509377,0.9901508124081639,0.73710155,0.038188435,0.3496630052505335,3.2309939861297607,83394720,0.9193057024530166,0.9490357816195875,0.6888846,0.006789732,0.39660196842535816,6.556172847747803,96454245,0.9949993385243435,0.9956054499559257,0.73852634,0.0636601,0.34935859543050074,0.7259613275527954,0
0.9612460706886786,0.9655059743637406,0.66837317,0.031766504,0.4263526044166793,4.336054801940918,83219328,0.8824167515913321,0.9329729702441653,0.6061112,0.014469058,0.5040331817307779,7.3212571144104,97366917,0.9981261589142901,0.9976299404485528,0.67365223,0.0491376,0.4231310071869444,0.5167757272720337,0
0.895345138918415,0.935770096782664,0.6072463,0.0101188235,0.5530422731832114,5.76482629776001,82860192,0.8361127945440129,0.9264710758445875,0.6385881,0.0062553682,0.5855617309208254,9.091477394104004,96462717,0.9914972958907963,0.9917539341284526,0.6864989,0.06675938,0.4396537728607731,0.9862560033798218,0
0.8374203753002283,0.9117253814606361,0.606915,0.0149421515,0.6254864987322047,7.135256767272949,84509712,0.7441566862509615,0.8783479874474266,0.55343866,0.0045427247,0.8231308435142674,11.024089813232422,93775059,0.9951714900174302,0.9956506695133299,0.6925033,0.08015687,0.40417430167393575,0.9385283589363098,0
0.8672780964607338,0.920218622810423,0.59019965,0.034701154,0.5431213599413482,6.186363220214844,83382192,0.7697362473490812,0.8842080891281644,0.59657663,0.016619867,0.5361228614158375,9.751864433288574,94708818,0.9979309824189017,0.9975967785768134,0.63275236,0.007114517,0.5006541420129553,0.7054287195205688,0
0.9797271161785364,0.9832017631679045,0.7125497,0.034123506,0.4086369240937766,3.9197802543640137,83870784,0.5806830976291825,0.824179099843653,0.42229587,0.0032173805,0.8901088843726322,12.076025009155273,93779196,1.0,1.0,0.7148915,0.035525225,0.40334246725003337,0.7986442446708679,0
